person_age,person_income,person_home_ownership,person_emp_length,loan_intent,loan_grade,loan_amnt,loan_int_rate,loan_status,loan_percent_income,cb_person_default_on_file,cb_person_cred_hist_length,age_group,income_bracket,loan_to_income_pct,dti_risk_band,loan_status_label,has_prior_default,credit_hist_ratio,predicted_default_probability,predicted_risk_tier
26,48000,RENT,0.0,EDUCATION,A,6000,8.59,0,0.13,N,4,26-35,25-50K,12.5,Low,Non-Default,0,0.44,0.1422,Very Low
26,50000,OWN,10.0,PERSONAL,A,7500,5.99,0,0.15,N,2,26-35,25-50K,15.0,Low,Non-Default,0,0.22,0.1126,Very Low
23,50000,MORTGAGE,3.0,MEDICAL,B,10000,10.99,0,0.2,N,3,18-25,25-50K,20.0,Low,Non-Default,0,0.5,0.2419,Low
22,50000,MORTGAGE,7.0,DEBTCONSOLIDATION,A,9000,8.49,0,0.18,N,2,18-25,25-50K,18.0,Low,Non-Default,0,0.4,0.2068,Low
23,48000,RENT,3.0,EDUCATION,B,6000,11.89,0,0.13,N,3,18-25,25-50K,12.5,Low,Non-Default,0,0.5,0.2431,Low
23,42000,RENT,3.0,DEBTCONSOLIDATION,D,6000,14.42,1,0.14,N,4,18-25,25-50K,14.29,Low,Default,0,0.67,0.8678,Very High
23,50000,OWN,7.0,VENTURE,A,2050,7.49,0,0.04,N,2,18-25,25-50K,4.1,Very Low,Non-Default,0,0.33,0.0262,Very Low
23,42000,RENT,2.0,PERSONAL,C,6000,12.41,1,0.14,N,4,18-25,25-50K,14.29,Low,Default,0,0.67,0.3155,Low
24,48000,RENT,8.0,MEDICAL,C,6000,12.22,0,0.13,Y,4,18-25,25-50K,12.5,Low,Non-Default,1,0.57,0.2787,Low
23,48500,RENT,1.0,MEDICAL,A,6000,9.32,0,0.12,N,3,18-25,25-50K,12.37,Low,Non-Default,0,0.5,0.1584,Very Low
23,44000,MORTGAGE,7.0,PERSONAL,A,10000,8.49,1,0.23,N,4,18-25,25-50K,22.73,Moderate,Default,0,0.67,0.2105,Low
22,48996,RENT,6.0,PERSONAL,B,6000,10.99,0,0.12,N,2,18-25,25-50K,12.25,Low,Non-Default,0,0.4,0.2435,Low
23,49000,RENT,6.0,DEBTCONSOLIDATION,A,6000,7.9,0,0.12,N,3,18-25,25-50K,12.24,Low,Non-Default,0,0.5,0.1676,Very Low
22,50000,OWN,1.0,MEDICAL,A,3600,7.49,0,0.07,N,2,18-25,25-50K,7.2,Very Low,Non-Default,0,0.4,0.0944,Very Low
24,50000,MORTGAGE,7.0,HOMEIMPROVEMENT,C,6000,13.99,0,0.12,Y,4,18-25,25-50K,12.0,Low,Non-Default,1,0.57,0.3654,Low
25,49000,RENT,8.0,EDUCATION,C,6000,13.48,0,0.12,Y,2,18-25,25-50K,12.24,Low,Non-Default,1,0.25,0.3281,Low
23,49152,RENT,2.0,PERSONAL,A,6000,7.9,0,0.12,N,3,18-25,25-50K,12.21,Low,Non-Default,0,0.5,0.1376,Very Low
21,49200,RENT,4.0,EDUCATION,C,6000,13.72,0,0.12,N,3,18-25,25-50K,12.2,Low,Non-Default,0,0.75,0.28,Low
22,50000,MORTGAGE,4.0,MEDICAL,B,8000,10.59,0,0.16,N,4,18-25,25-50K,16.0,Low,Non-Default,0,0.8,0.2454,Low
24,49500,RENT,9.0,EDUCATION,D,6000,16.07,0,0.12,Y,4,18-25,25-50K,12.12,Low,Non-Default,1,0.57,0.6536,High
21,50000,MORTGAGE,5.0,DEBTCONSOLIDATION,A,5375,7.49,0,0.11,N,3,18-25,25-50K,10.75,Low,Non-Default,0,0.75,0.1345,Very Low
22,50000,RENT,4.0,MEDICAL,B,6000,10.65,0,0.12,N,2,18-25,25-50K,12.0,Low,Non-Default,0,0.4,0.2191,Low
23,50000,RENT,4.0,DEBTCONSOLIDATION,B,6000,11.49,0,0.12,N,3,18-25,25-50K,12.0,Low,Non-Default,0,0.5,0.2464,Low
23,50000,MORTGAGE,7.0,DEBTCONSOLIDATION,B,15000,9.99,0,0.3,N,4,18-25,25-50K,30.0,Moderate,Non-Default,0,0.67,0.2611,Low
24,50000,RENT,0.0,PERSONAL,A,6000,7.49,0,0.12,N,4,18-25,25-50K,12.0,Low,Non-Default,0,0.57,0.1124,Very Low
24,44000,MORTGAGE,4.0,MEDICAL,B,5000,11.99,1,0.11,N,3,18-25,25-50K,11.36,Low,Default,0,0.43,0.3729,Low
24,50000,RENT,5.0,MEDICAL,C,6000,14.79,0,0.12,N,4,18-25,25-50K,12.0,Low,Non-Default,0,0.57,0.3267,Low
22,50000,RENT,3.0,DEBTCONSOLIDATION,C,6000,13.49,0,0.12,Y,2,18-25,25-50K,12.0,Low,Non-Default,1,0.4,0.3029,Low
25,50000,RENT,1.0,MEDICAL,C,6000,14.79,0,0.12,Y,3,18-25,25-50K,12.0,Low,Non-Default,1,0.38,0.2491,Low
24,50000,MORTGAGE,8.0,EDUCATION,A,9600,6.99,0,0.19,N,3,18-25,25-50K,19.2,Low,Non-Default,0,0.43,0.1635,Very Low
23,50000,RENT,4.0,VENTURE,C,6000,13.49,0,0.12,N,3,18-25,25-50K,12.0,Low,Non-Default,0,0.5,0.249,Low
25,50000,RENT,5.0,HOMEIMPROVEMENT,C,6000,12.99,0,0.12,Y,3,18-25,25-50K,12.0,Low,Non-Default,1,0.38,0.318,Low
22,50000,OWN,4.0,PERSONAL,B,5000,12.62,0,0.1,N,3,18-25,25-50K,10.0,Very Low,Non-Default,0,0.6,0.194,Very Low
26,50000,RENT,4.0,PERSONAL,B,6000,10.99,0,0.12,N,3,26-35,25-50K,12.0,Low,Non-Default,0,0.33,0.2119,Low
24,50000,MORTGAGE,5.0,PERSONAL,B,3500,10.99,0,0.07,N,2,18-25,25-50K,7.0,Very Low,Non-Default,0,0.29,0.281,Low
24,50000,RENT,1.0,MEDICAL,A,6000,5.79,0,0.12,N,4,18-25,25-50K,12.0,Low,Non-Default,0,0.57,0.1138,Very Low
26,50000,OWN,7.0,MEDICAL,A,12000,8.49,0,0.24,N,4,26-35,25-50K,24.0,Moderate,Non-Default,0,0.44,0.1269,Very Low
23,50000,RENT,4.0,DEBTCONSOLIDATION,A,6000,5.79,0,0.12,N,2,18-25,25-50K,12.0,Low,Non-Default,0,0.33,0.1273,Very Low
21,50000,MORTGAGE,5.0,PERSONAL,B,7000,10.59,0,0.14,N,3,18-25,25-50K,14.0,Low,Non-Default,0,0.75,0.2326,Low
25,50000,RENT,9.0,HOMEIMPROVEMENT,C,6000,14.17,0,0.12,N,3,18-25,25-50K,12.0,Low,Non-Default,0,0.38,0.3527,Low
21,50000,RENT,5.0,MEDICAL,B,6000,10.75,0,0.12,N,2,18-25,25-50K,12.0,Low,Non-Default,0,0.5,0.2205,Low
22,50000,RENT,3.0,DEBTCONSOLIDATION,B,6000,10.25,0,0.12,N,3,18-25,25-50K,12.0,Low,Non-Default,0,0.6,0.1995,Very Low
24,50000,MORTGAGE,8.0,EDUCATION,B,15000,9.99,0,0.3,N,3,18-25,25-50K,30.0,Moderate,Non-Default,0,0.43,0.2606,Low
23,50000,RENT,5.0,PERSONAL,B,6000,11.48,0,0.12,N,3,18-25,25-50K,12.0,Low,Non-Default,0,0.5,0.2337,Low
22,44000,MORTGAGE,6.0,MEDICAL,A,5000,5.42,1,0.11,N,4,18-25,25-50K,11.36,Low,Default,0,0.8,0.1666,Very Low
26,50000,MORTGAGE,6.0,DEBTCONSOLIDATION,B,10800,10.99,0,0.22,N,4,26-35,25-50K,21.6,Moderate,Non-Default,0,0.44,0.2659,Low
23,50000,OWN,4.0,VENTURE,A,4800,5.99,0,0.1,N,3,18-25,25-50K,9.6,Very Low,Non-Default,0,0.5,0.0213,Very Low
22,50000,RENT,6.0,PERSONAL,B,6000,11.89,0,0.12,N,2,18-25,25-50K,12.0,Low,Non-Default,0,0.4,0.2509,Low
23,50000,MORTGAGE,6.0,VENTURE,A,7000,5.99,0,0.14,N,3,18-25,25-50K,14.0,Low,Non-Default,0,0.5,0.0314,Very Low
22,50000,RENT,2.0,DEBTCONSOLIDATION,B,6000,10.46,0,0.12,N,4,18-25,25-50K,12.0,Low,Non-Default,0,0.8,0.1959,Very Low
22,50000,MORTGAGE,0.0,DEBTCONSOLIDATION,A,6400,7.29,0,0.13,N,4,18-25,25-50K,12.8,Low,Non-Default,0,0.8,0.1344,Very Low
26,44000,MORTGAGE,4.0,PERSONAL,B,11500,9.63,1,0.26,N,3,26-35,25-50K,26.14,Moderate,Default,0,0.33,0.2309,Low
22,50508,RENT,5.0,VENTURE,A,6000,5.42,0,0.12,N,3,18-25,50-75K,11.88,Low,Non-Default,0,0.6,0.0401,Very Low
24,50000,MORTGAGE,4.0,DEBTCONSOLIDATION,B,5000,10.0,0,0.1,N,4,18-25,25-50K,10.0,Very Low,Non-Default,0,0.57,0.2769,Low
23,50000,MORTGAGE,3.0,PERSONAL,A,6000,6.92,0,0.12,N,2,18-25,25-50K,12.0,Low,Non-Default,0,0.33,0.1133,Very Low
22,50650,RENT,4.0,DEBTCONSOLIDATION,B,6000,11.86,0,0.12,N,2,18-25,50-75K,11.85,Low,Non-Default,0,0.4,0.2407,Low
24,50000,MORTGAGE,8.0,EDUCATION,A,3000,7.66,0,0.06,N,2,18-25,25-50K,6.0,Very Low,Non-Default,0,0.29,0.1526,Very Low
24,50740,RENT,0.0,MEDICAL,A,6000,9.63,0,0.12,N,3,18-25,50-75K,11.82,Low,Non-Default,0,0.43,0.15,Very Low
24,45000,RENT,0.0,MEDICAL,E,6000,17.19,1,0.13,N,3,18-25,25-50K,13.33,Low,Default,0,0.43,0.9788,Very High
25,50000,MORTGAGE,9.0,PERSONAL,A,10000,6.92,0,0.2,N,2,18-25,25-50K,20.0,Low,Non-Default,0,0.25,0.1863,Very Low
26,51356,RENT,4.0,DEBTCONSOLIDATION,A,6000,5.79,0,0.12,N,4,26-35,50-75K,11.68,Low,Non-Default,0,0.44,0.1263,Very Low
26,51500,RENT,3.0,MEDICAL,B,6000,10.75,0,0.12,N,3,26-35,50-75K,11.65,Low,Non-Default,0,0.33,0.2129,Low
25,51541,RENT,0.0,DEBTCONSOLIDATION,B,6000,12.18,0,0.12,N,4,18-25,50-75K,11.64,Low,Non-Default,0,0.5,0.232,Low
26,45928,RENT,5.0,HOMEIMPROVEMENT,A,6000,7.9,1,0.13,N,4,26-35,25-50K,13.06,Low,Default,0,0.44,0.1826,Very Low
23,52000,RENT,4.0,DEBTCONSOLIDATION,C,6000,14.22,0,0.12,N,4,18-25,50-75K,11.54,Low,Non-Default,0,0.67,0.3287,Low
25,50000,MORTGAGE,9.0,HOMEIMPROVEMENT,B,8000,10.0,0,0.16,N,2,18-25,25-50K,16.0,Low,Non-Default,0,0.25,0.2731,Low
25,52000,RENT,2.0,VENTURE,C,6000,12.87,0,0.12,Y,4,18-25,50-75K,11.54,Low,Non-Default,1,0.5,0.2265,Low
25,52000,RENT,4.0,VENTURE,D,6000,14.96,0,0.12,Y,2,18-25,50-75K,11.54,Low,Non-Default,1,0.25,0.5159,Moderate
26,52000,RENT,10.0,HOMEIMPROVEMENT,E,6000,15.68,0,0.12,N,3,26-35,50-75K,11.54,Low,Non-Default,0,0.33,0.7249,High
24,52800,RENT,3.0,HOMEIMPROVEMENT,B,6000,9.91,0,0.11,N,4,18-25,50-75K,11.36,Low,Non-Default,0,0.57,0.2271,Low
22,50000,OWN,6.0,VENTURE,A,6400,6.92,0,0.13,N,4,18-25,25-50K,12.8,Low,Non-Default,0,0.8,0.0208,Very Low
25,53000,RENT,9.0,HOMEIMPROVEMENT,A,6000,7.9,0,0.11,N,4,18-25,50-75K,11.32,Low,Non-Default,0,0.5,0.1736,Very Low
22,50000,OWN,3.0,EDUCATION,A,5000,7.29,0,0.1,N,4,18-25,25-50K,10.0,Very Low,Non-Default,0,0.8,0.0935,Very Low
24,53000,RENT,0.0,EDUCATION,B,6000,11.49,0,0.11,N,2,18-25,50-75K,11.32,Low,Non-Default,0,0.29,0.238,Low
23,50000,MORTGAGE,5.0,DEBTCONSOLIDATION,A,6000,7.66,0,0.12,N,4,18-25,25-50K,12.0,Low,Non-Default,0,0.67,0.1329,Very Low
22,53819,RENT,2.0,EDUCATION,A,6000,7.42,0,0.11,N,3,18-25,50-75K,11.15,Low,Non-Default,0,0.6,0.1236,Very Low
26,50000,MORTGAGE,9.0,DEBTCONSOLIDATION,A,10000,7.49,0,0.2,N,3,26-35,25-50K,20.0,Low,Non-Default,0,0.33,0.1949,Very Low
22,50000,MORTGAGE,6.0,VENTURE,A,6800,6.92,0,0.14,N,4,18-25,25-50K,13.6,Low,Non-Default,0,0.8,0.0305,Very Low
22,50000,MORTGAGE,3.0,PERSONAL,B,6000,11.11,0,0.12,N,3,18-25,25-50K,12.0,Low,Non-Default,0,0.6,0.2454,Low
22,54000,RENT,6.0,PERSONAL,C,6000,12.98,0,0.11,N,3,18-25,50-75K,11.11,Low,Non-Default,0,0.6,0.2798,Low
24,54000,RENT,2.0,EDUCATION,A,6000,7.14,0,0.11,N,3,18-25,50-75K,11.11,Low,Non-Default,0,0.43,0.1222,Very Low
26,48000,RENT,0.0,PERSONAL,E,6000,16.45,1,0.13,N,4,26-35,25-50K,12.5,Low,Default,0,0.44,0.9633,Very High
26,50000,MORTGAGE,10.0,HOMEIMPROVEMENT,B,6000,10.99,0,0.12,N,3,26-35,25-50K,12.0,Low,Non-Default,0,0.33,0.2958,Low
25,54000,RENT,4.0,HOMEIMPROVEMENT,A,6000,8.59,0,0.11,N,4,18-25,50-75K,11.11,Low,Non-Default,0,0.5,0.1576,Very Low
23,54000,RENT,0.0,EDUCATION,C,6000,12.53,0,0.11,Y,4,18-25,50-75K,11.11,Low,Non-Default,1,0.67,0.2753,Low
23,54516,RENT,4.0,VENTURE,B,6000,9.91,0,0.11,N,3,18-25,50-75K,11.01,Low,Non-Default,0,0.5,0.0659,Very Low
22,50000,MORTGAGE,7.0,VENTURE,B,8800,11.11,0,0.18,N,4,18-25,25-50K,17.6,Low,Non-Default,0,0.8,0.067,Very Low
22,50000,MORTGAGE,4.0,EDUCATION,A,12000,7.29,0,0.24,N,3,18-25,25-50K,24.0,Moderate,Non-Default,0,0.6,0.1471,Very Low
25,50000,MORTGAGE,5.0,EDUCATION,C,4000,13.43,0,0.08,Y,3,18-25,25-50K,8.0,Very Low,Non-Default,1,0.38,0.3268,Low
26,48700,RENT,0.0,MEDICAL,D,6000,14.59,1,0.12,N,3,26-35,25-50K,12.32,Low,Default,0,0.33,0.9646,Very High
22,54996,RENT,4.0,VENTURE,B,6000,10.75,0,0.11,N,3,18-25,50-75K,10.91,Low,Non-Default,0,0.6,0.0747,Very Low
26,50000,MORTGAGE,1.0,VENTURE,B,15000,10.37,0,0.3,N,2,26-35,25-50K,30.0,Moderate,Non-Default,0,0.22,0.0602,Very Low
25,50000,MORTGAGE,9.0,PERSONAL,A,12000,7.49,0,0.24,N,2,18-25,25-50K,24.0,Moderate,Non-Default,0,0.25,0.1996,Very Low
25,55000,RENT,0.0,DEBTCONSOLIDATION,B,6000,10.65,0,0.11,N,2,18-25,50-75K,10.91,Low,Non-Default,0,0.25,0.1987,Very Low
22,55000,RENT,6.0,EDUCATION,C,6000,14.27,0,0.11,Y,2,18-25,50-75K,10.91,Low,Non-Default,1,0.4,0.296,Low
23,50000,MORTGAGE,2.0,DEBTCONSOLIDATION,B,14400,10.0,0,0.29,N,2,18-25,25-50K,28.8,Moderate,Non-Default,0,0.33,0.2286,Low
22,55000,RENT,2.0,EDUCATION,A,6000,8.9,0,0.11,N,3,18-25,50-75K,10.91,Low,Non-Default,0,0.6,0.1395,Very Low
25,55000,RENT,3.0,HOMEIMPROVEMENT,B,6000,10.99,0,0.11,N,3,18-25,50-75K,10.91,Low,Non-Default,0,0.38,0.254,Low
24,55000,RENT,0.0,DEBTCONSOLIDATION,A,6000,6.03,0,0.11,N,4,18-25,50-75K,10.91,Low,Non-Default,0,0.57,0.1122,Very Low
22,55000,RENT,6.0,EDUCATION,A,6000,6.62,0,0.11,N,2,18-25,50-75K,10.91,Low,Non-Default,0,0.4,0.1339,Very Low
24,50000,MORTGAGE,2.0,PERSONAL,A,7000,5.42,0,0.14,N,4,18-25,25-50K,14.0,Low,Non-Default,0,0.57,0.1257,Very Low
23,55000,RENT,7.0,EDUCATION,B,6000,10.99,0,0.11,N,2,18-25,50-75K,10.91,Low,Non-Default,0,0.33,0.2582,Low
22,55000,RENT,6.0,DEBTCONSOLIDATION,A,6000,6.99,0,0.11,N,3,18-25,50-75K,10.91,Low,Non-Default,0,0.6,0.1304,Very Low
21,49000,RENT,4.0,VENTURE,D,6000,15.99,1,0.12,N,4,18-25,25-50K,12.24,Low,Default,0,1.0,0.6466,High
26,55000,RENT,10.0,MEDICAL,A,6000,5.42,0,0.11,N,4,26-35,50-75K,10.91,Low,Non-Default,0,0.44,0.1501,Very Low
22,55000,RENT,7.0,EDUCATION,B,6000,9.25,0,0.11,N,3,18-25,50-75K,10.91,Low,Non-Default,0,0.6,0.1969,Very Low
22,50000,MORTGAGE,4.0,DEBTCONSOLIDATION,B,5150,8.88,0,0.1,N,2,18-25,25-50K,10.3,Very Low,Non-Default,0,0.4,0.2194,Low
24,50000,MORTGAGE,8.0,MEDICAL,A,12000,5.42,0,0.24,N,2,18-25,25-50K,24.0,Moderate,Non-Default,0,0.29,0.1816,Very Low
21,49000,RENT,5.0,DEBTCONSOLIDATION,D,6000,14.84,1,0.12,Y,4,18-25,25-50K,12.24,Low,Default,1,1.0,0.9066,Very High
26,55000,RENT,6.0,HOMEIMPROVEMENT,A,6000,7.14,0,0.11,N,4,26-35,50-75K,10.91,Low,Non-Default,0,0.44,0.1335,Very Low
21,55000,RENT,3.0,EDUCATION,B,6000,10.99,0,0.11,N,3,18-25,50-75K,10.91,Low,Non-Default,0,0.75,0.2195,Low
22,55000,RENT,5.0,DEBTCONSOLIDATION,A,6000,7.51,0,0.11,N,3,18-25,50-75K,10.91,Low,Non-Default,0,0.6,0.1303,Very Low
22,50000,MORTGAGE,4.0,PERSONAL,B,7000,9.25,0,0.14,N,3,18-25,25-50K,14.0,Low,Non-Default,0,0.6,0.2043,Low
26,49200,RENT,7.0,MEDICAL,D,6000,16.49,1,0.12,Y,2,26-35,25-50K,12.2,Low,Default,1,0.22,0.8144,Very High
25,50000,MORTGAGE,5.0,EDUCATION,B,12000,10.99,0,0.24,N,2,18-25,25-50K,24.0,Moderate,Non-Default,0,0.25,0.248,Low
21,55600,RENT,2.0,MEDICAL,A,6000,7.49,0,0.11,N,4,18-25,50-75K,10.79,Low,Non-Default,0,1.0,0.1181,Very Low
23,56000,RENT,6.0,EDUCATION,A,6000,7.49,0,0.11,N,4,18-25,50-75K,10.71,Low,Non-Default,0,0.67,0.1368,Very Low
25,50000,MORTGAGE,7.0,PERSONAL,C,6600,12.61,0,0.13,Y,3,18-25,25-50K,13.2,Low,Non-Default,1,0.38,0.2975,Low
24,50000,MORTGAGE,5.0,PERSONAL,A,6000,6.17,0,0.12,N,2,18-25,25-50K,12.0,Low,Non-Default,0,0.29,0.112,Very Low
25,56000,RENT,1.0,HOMEIMPROVEMENT,B,6000,10.74,0,0.11,N,2,18-25,50-75K,10.71,Low,Non-Default,0,0.25,0.2433,Low
25,50000,MORTGAGE,9.0,EDUCATION,A,5000,5.79,0,0.1,N,2,18-25,25-50K,10.0,Very Low,Non-Default,0,0.25,0.1738,Very Low
26,44000,MORTGAGE,3.0,EDUCATION,A,22500,7.49,1,0.51,N,3,26-35,25-50K,51.14,Very High,Default,0,0.33,0.5223,Moderate
22,50000,MORTGAGE,0.0,DEBTCONSOLIDATION,A,12800,5.79,0,0.26,N,2,18-25,25-50K,25.6,Moderate,Non-Default,0,0.4,0.1468,Very Low
23,50000,RENT,1.0,DEBTCONSOLIDATION,B,6000,11.48,1,0.12,N,4,18-25,25-50K,12.0,Low,Default,0,0.67,0.2413,Low
24,57000,RENT,0.0,VENTURE,A,6000,7.9,0,0.11,N,3,18-25,50-75K,10.53,Low,Non-Default,0,0.43,0.0329,Very Low
25,57000,RENT,5.0,PERSONAL,A,6000,8.0,0,0.11,N,3,18-25,50-75K,10.53,Low,Non-Default,0,0.38,0.134,Very Low
22,58000,RENT,2.0,PERSONAL,A,6000,6.92,0,0.1,N,4,18-25,50-75K,10.34,Very Low,Non-Default,0,0.8,0.1194,Very Low
25,58000,RENT,3.0,MEDICAL,B,6000,12.18,0,0.1,N,4,18-25,50-75K,10.34,Very Low,Non-Default,0,0.5,0.2617,Low
21,50000,MORTGAGE,5.0,MEDICAL,A,15000,6.54,0,0.3,N,4,18-25,25-50K,30.0,Moderate,Non-Default,0,1.0,0.177,Very Low
23,50000,MORTGAGE,4.0,VENTURE,E,15250,15.95,0,0.3,N,3,18-25,25-50K,30.5,Moderate,Non-Default,0,0.5,0.536,Moderate
22,50000,OWN,2.0,MEDICAL,D,10400,15.31,0,0.21,Y,4,18-25,25-50K,20.8,Moderate,Non-Default,1,0.8,0.4452,Moderate
24,58000,RENT,3.0,VENTURE,C,6000,12.87,0,0.1,Y,2,18-25,50-75K,10.34,Very Low,Non-Default,1,0.29,0.2204,Low
25,50000,OWN,3.0,MEDICAL,A,10000,7.49,0,0.2,N,3,18-25,25-50K,20.0,Low,Non-Default,0,0.38,0.1016,Very Low
22,52800,RENT,6.0,EDUCATION,C,6000,11.97,1,0.11,N,2,18-25,50-75K,11.36,Low,Default,0,0.4,0.3151,Low
22,50000,MORTGAGE,5.0,VENTURE,B,10000,10.36,0,0.2,N,3,18-25,25-50K,20.0,Low,Non-Default,0,0.6,0.052,Very Low
22,50000,MORTGAGE,6.0,PERSONAL,B,8000,11.12,0,0.16,N,3,18-25,25-50K,16.0,Low,Non-Default,0,0.6,0.2545,Low
25,59366,RENT,4.0,MEDICAL,B,6000,11.11,0,0.1,N,2,18-25,50-75K,10.11,Very Low,Non-Default,0,0.25,0.2343,Low
24,59400,RENT,8.0,DEBTCONSOLIDATION,A,6000,7.9,0,0.1,N,3,18-25,50-75K,10.1,Very Low,Non-Default,0,0.43,0.1454,Very Low
24,50000,MORTGAGE,2.0,EDUCATION,D,25000,15.58,0,0.5,Y,3,18-25,25-50K,50.0,Very High,Non-Default,1,0.43,0.7028,High
23,59785,RENT,2.0,EDUCATION,A,6000,8.94,0,0.1,N,3,18-25,50-75K,10.04,Very Low,Non-Default,0,0.5,0.1284,Very Low
23,60000,RENT,1.0,DEBTCONSOLIDATION,A,6000,7.49,0,0.1,N,2,18-25,50-75K,10.0,Very Low,Non-Default,0,0.33,0.0978,Very Low
22,50000,MORTGAGE,7.0,EDUCATION,A,12800,7.88,0,0.26,N,3,18-25,25-50K,25.6,Moderate,Non-Default,0,0.6,0.1818,Very Low
25,50000,MORTGAGE,9.0,PERSONAL,C,2500,13.61,0,0.05,N,3,18-25,25-50K,5.0,Very Low,Non-Default,0,0.38,0.3255,Low
22,60000,RENT,5.0,EDUCATION,B,6000,11.49,0,0.1,N,4,18-25,50-75K,10.0,Very Low,Non-Default,0,0.8,0.1797,Very Low
22,50000,OWN,2.0,EDUCATION,B,5600,11.86,0,0.11,N,2,18-25,25-50K,11.2,Low,Non-Default,0,0.4,0.172,Very Low
22,60000,RENT,6.0,MEDICAL,B,6000,11.99,0,0.1,N,3,18-25,50-75K,10.0,Very Low,Non-Default,0,0.6,0.2037,Low
23,54000,RENT,5.0,DEBTCONSOLIDATION,D,6000,15.62,1,0.11,Y,4,18-25,50-75K,11.11,Low,Default,1,0.67,0.9255,Very High
24,50000,MORTGAGE,4.0,MEDICAL,A,4000,7.49,0,0.08,N,2,18-25,25-50K,8.0,Very Low,Non-Default,0,0.29,0.1389,Very Low
24,54000,RENT,3.0,HOMEIMPROVEMENT,B,6000,10.99,1,0.11,N,2,18-25,50-75K,11.11,Low,Default,0,0.29,0.274,Low
21,60000,RENT,5.0,MEDICAL,A,6000,7.49,0,0.1,N,4,18-25,50-75K,10.0,Very Low,Non-Default,0,1.0,0.108,Very Low
25,60000,RENT,9.0,PERSONAL,D,6000,14.54,0,0.1,Y,3,18-25,50-75K,10.0,Very Low,Non-Default,1,0.38,0.4996,Moderate
23,54000,RENT,2.0,DEBTCONSOLIDATION,D,6000,14.09,1,0.11,Y,3,18-25,50-75K,11.11,Low,Default,1,0.5,0.9649,Very High
26,50000,OWN,11.0,HOMEIMPROVEMENT,B,1800,11.49,0,0.04,N,4,26-35,25-50K,3.6,Very Low,Non-Default,0,0.44,0.2142,Low
26,50000,MORTGAGE,10.0,PERSONAL,A,10000,7.51,0,0.2,N,3,26-35,25-50K,20.0,Low,Non-Default,0,0.33,0.186,Very Low
24,50000,MORTGAGE,8.0,HOMEIMPROVEMENT,A,9000,7.14,0,0.18,N,2,18-25,25-50K,18.0,Low,Non-Default,0,0.29,0.1661,Very Low
25,50000,MORTGAGE,3.0,HOMEIMPROVEMENT,C,4800,13.61,0,0.1,Y,2,18-25,25-50K,9.6,Very Low,Non-Default,1,0.25,0.3575,Low
24,60000,RENT,9.0,MEDICAL,A,6000,7.51,0,0.1,N,3,18-25,50-75K,10.0,Very Low,Non-Default,0,0.43,0.1389,Very Low
25,50000,MORTGAGE,5.0,DEBTCONSOLIDATION,A,4000,7.49,0,0.08,N,4,18-25,25-50K,8.0,Very Low,Non-Default,0,0.5,0.1421,Very Low
23,50000,OWN,3.0,PERSONAL,B,1500,11.49,0,0.03,N,2,18-25,25-50K,3.0,Very Low,Non-Default,0,0.33,0.1679,Very Low
23,50000,MORTGAGE,2.0,EDUCATION,C,8000,13.61,0,0.16,N,2,18-25,25-50K,16.0,Low,Non-Default,0,0.33,0.2856,Low
23,54000,RENT,6.0,HOMEIMPROVEMENT,E,6000,16.45,1,0.11,N,2,18-25,50-75K,11.11,Low,Default,0,0.33,0.7924,High
24,60000,RENT,0.0,HOMEIMPROVEMENT,B,6000,11.48,0,0.1,N,2,18-25,50-75K,10.0,Very Low,Non-Default,0,0.29,0.1923,Very Low
22,50000,MORTGAGE,4.0,EDUCATION,A,5000,7.51,0,0.1,N,2,18-25,25-50K,10.0,Very Low,Non-Default,0,0.4,0.142,Very Low
23,60495,RENT,8.0,MEDICAL,A,6000,7.49,0,0.1,N,3,18-25,50-75K,9.92,Very Low,Non-Default,0,0.5,0.1321,Very Low
26,50000,OWN,5.0,MEDICAL,A,3250,7.51,0,0.07,N,2,26-35,25-50K,6.5,Very Low,Non-Default,0,0.22,0.1019,Very Low
25,61000,RENT,9.0,EDUCATION,A,6000,7.49,0,0.1,N,4,18-25,50-75K,9.84,Very Low,Non-Default,0,0.5,0.13,Very Low
23,44000,MORTGAGE,7.0,PERSONAL,A,8500,7.14,1,0.19,N,3,18-25,25-50K,19.32,Low,Default,0,0.5,0.1583,Very Low
22,61104,RENT,6.0,EDUCATION,B,6000,10.99,0,0.1,N,4,18-25,50-75K,9.82,Very Low,Non-Default,0,0.8,0.2017,Low
23,50000,MORTGAGE,2.0,PERSONAL,B,4000,11.86,0,0.08,N,3,18-25,25-50K,8.0,Very Low,Non-Default,0,0.5,0.2974,Low
25,50000,OWN,9.0,VENTURE,C,12000,13.98,0,0.24,N,2,18-25,25-50K,24.0,Moderate,Non-Default,0,0.25,0.1657,Very Low
21,62000,RENT,2.0,EDUCATION,B,6000,10.25,0,0.1,N,4,18-25,50-75K,9.68,Very Low,Non-Default,0,1.0,0.1491,Very Low
25,62000,RENT,2.0,VENTURE,A,6000,7.49,0,0.1,N,3,18-25,50-75K,9.68,Very Low,Non-Default,0,0.38,0.0263,Very Low
22,24000,RENT,6.0,DEBTCONSOLIDATION,B,7125,9.67,0,0.3,N,3,18-25,<25K,29.69,Moderate,Non-Default,0,0.6,0.3196,Low
